theta,probability
-102.99072701116357,0.99999
-102.74449932960398,0.99999
-102.4982716480444,0.99999
-102.25204396648482,0.99999
-102.00581628492523,0.99999
-101.75958860336564,0.99999
-101.51336092180605,0.99999
-101.26713324024648,0.99999
-101.02090555868689,0.99999
-100.7746778771273,0.99999
-100.52845019556771,0.99999
-100.28222251400813,0.99999
-100.03599483244855,0.99999
-99.78976715088896,0.99999
-99.54353946932937,0.99999
-99.29731178776979,0.99999
-99.05108410621021,0.99999
-98.80485642465062,0.99999
-98.55862874309103,0.99999
-98.31240106153145,0.99999
-98.06617337997186,0.99999
-97.81994569841228,0.99999
-97.5737180168527,0.99999
-97.3274903352931,0.99999
-97.08126265373352,0.99999
-96.83503497217394,0.99998
-96.58880729061435,0.99998
-96.34257960905477,0.99998
-96.09635192749518,0.99998
-95.85012424593559,0.99998
-95.60389656437602,0.99998
-95.35766888281643,0.99998
-95.11144120125684,0.99998
-94.86521351969725,0.99998
-94.61898583813768,0.99998
-94.37275815657809,0.99998
-94.1265304750185,0.99998
-93.88030279345891,0.99998
-93.63407511189932,0.99998
-93.38784743033975,0.99997
-93.14161974878016,0.99997
-92.89539206722057,0.99997
-92.64916438566098,0.99997
-92.4029367041014,0.99996
-92.15670902254182,0.99996
-91.91048134098223,0.99996
-91.66425365942264,0.99996
-91.41802597786305,0.99996
-91.17179829630348,0.99995
-90.92557061474389,0.99994
-90.6793429331843,0.99992
-90.43311525162473,0.99992
-90.18688757006514,0.99992
-89.94065988850555,0.99992
-89.69443220694596,0.9999
-89.44820452538637,0.99989
-89.2019768438268,0.99988
-88.95574916226721,0.99987
-88.70952148070762,0.99986
-88.46329379914803,0.99983
-88.21706611758846,0.99983
-87.97083843602887,0.99977
-87.72461075446928,0.99972
-87.4783830729097,0.99969
-87.2321553913501,0.99965
-86.98592770979052,0.99961
-86.73970002823094,0.99955
-86.49347234667135,0.9995
-86.24724466511177,0.9994
-86.00101698355219,0.99932
-85.7547893019926,0.99922
-85.50856162043301,0.99913
-85.26233393887343,0.99892
-85.01610625731384,0.99878
-84.76987857575425,0.99863
-84.52365089419467,0.99843
-84.27742321263509,0.99821
-84.0311955310755,0.99793
-83.78496784951592,0.99765
-83.53874016795633,0.99735
-83.29251248639675,0.99701
-83.04628480483716,0.99672
-82.80005712327757,0.99637
-82.553829441718,0.99599
-82.3076017601584,0.99551
-82.06137407859882,0.9949
-81.81514639703923,0.99419
-81.56891871547965,0.9934499999999999
-81.32269103392007,0.9926
-81.07646335236048,0.9918
-80.83023567080089,0.99094
-80.5840079892413,0.99002
-80.33778030768173,0.98892
-80.09155262612214,0.98786
-79.84532494456255,0.98663
-79.59909726300296,0.98522
-79.35286958144339,0.98393
-79.1066418998838,0.9823500000000001
-78.86041421832421,0.9807
-78.61418653676462,0.97893
-78.36795885520503,0.977
-78.12173117364546,0.97507
-77.87550349208587,0.97266
-77.62927581052628,0.9704699999999999
-77.38304812896669,0.96829
-77.13682044740712,0.9658100000000001
-76.89059276584753,0.96311
-76.64436508428794,0.9603
-76.39813740272835,0.95773
-76.15190972116876,0.95485
-75.90568203960919,0.95167
-75.6594543580496,0.94814
-75.41322667649001,0.94451
-75.16699899493044,0.94094
-74.92077131337085,0.93714
-74.67454363181126,0.93329
-74.42831595025167,0.92925
-74.18208826869208,0.92532
-73.9358605871325,0.92104
-73.68963290557292,0.91655
-73.44340522401333,0.9117999999999999
-73.19717754245374,0.90716
-72.95094986089417,0.9021399999999999
-72.70472217933458,0.89728
-72.45849449777499,0.89209
-72.2122668162154,0.88658
-71.96603913465582,0.88098
-71.71981145309623,0.87541
-71.47358377153665,0.86995
-71.22735608997706,0.86382
-70.98112840841748,0.85794
-70.7349007268579,0.85176
-70.48867304529831,0.84558
-70.24244536373872,0.83896
-69.99621768217914,0.8322499999999999
-69.74999000061955,0.82494
-69.50376231905996,0.81793
-69.25753463750038,0.81108
-69.0113069559408,0.804
-68.76507927438121,0.79725
-68.51885159282163,0.78995
-68.27262391126204,0.78273
-68.02639622970246,0.77477
-67.78016854814287,0.76695
-67.53394086658328,0.75992
-67.28771318502369,0.75212
-67.04148550346412,0.74417
-66.79525782190453,0.73622
-66.54903014034494,0.7281
-66.30280245878537,0.7205900000000001
-66.05657477722578,0.71303
-65.81034709566619,0.70503
-65.5641194141066,0.69642
-65.31789173254701,0.6883699999999999
-65.07166405098742,0.67981
-64.82543636942785,0.67191
-64.57920868786826,0.6634
-64.33298100630869,0.65513
-64.0867533247491,0.6473599999999999
-63.8405256431895,0.63895
-63.59429796162992,0.6311899999999999
-63.34807028007033,0.62315
-63.10184259851075,0.61504
-62.85561491695116,0.60713
-62.60938723539158,0.59812
-62.36315955383199,0.59017
-62.11693187227241,0.58215
-61.87070419071282,0.5740000000000001
-61.62447650915323,0.56586
-61.37824882759365,0.55791
-61.13202114603406,0.54983
-60.88579346447448,0.54189
-60.63956578291489,0.5340199999999999
-60.39333810135531,0.52617
-60.14711041979572,0.5184599999999999
-59.90088273823614,0.51037
-59.65465505667655,0.5025999999999999
-59.40842737511697,0.49534
-59.16219969355738,0.48731
-58.915972011997795,0.48001000000000005
-58.66974433043821,0.47270999999999996
-58.423516648878625,0.46511
-58.17728896731904,0.45811999999999997
-57.931061285759455,0.45069000000000004
-57.68483360419987,0.44410000000000005
-57.438605922640285,0.43664000000000003
-57.192378241080704,0.42934000000000005
-56.946150559521115,0.42242
-56.69992287796153,0.41588
-56.453695196401945,0.40978000000000003
-56.20746751484236,0.40274
-55.961239833282775,0.39639
-55.71501215172319,0.39041000000000003
-55.468784470163605,0.384
-55.22255678860402,0.37755000000000005
-54.976329107044435,0.37107
-54.73010142548485,0.3647
-54.48387374392526,0.35865
-54.23764606236568,0.35280999999999996
-53.99141838080609,0.34714
-53.74519069924651,0.34186000000000005
-53.49896301768692,0.33606
-53.25273533612734,0.33031999999999995
-53.00650765456775,0.3244
-52.76027997300817,0.31904999999999994
-52.51405229144858,0.31345
-52.267824609889,0.30822000000000005
-52.02159692832941,0.30273000000000005
-51.77536924676982,0.29795000000000005
-51.52914156521024,0.29283000000000003
-51.28291388365065,0.28768000000000005
