theta,probability
-80.05727219901695,0.9999
-76.5881846679034,0.9999
-73.11909713678988,0.9996
-69.65000960567633,0.9995
-66.18092207456279,0.999
-62.711834543449235,0.9989
-59.242747012335705,0.9982
-55.77365948122216,0.9973
-52.30457195010862,0.9967
-48.83548441899508,0.9947
-45.36639688788154,0.992
-41.897309356768,0.9886
-38.42822182565446,0.9837
-34.95913429454092,0.9733
-31.490046763427383,0.964
-28.02095923231384,0.9462
-24.5518717012003,0.9276
-21.082784170086764,0.8998
-17.61369663897322,0.8648
-14.144609107859674,0.8247
-10.675521576746144,0.7746999999999999
-7.2064340456326,0.716
-3.7373465145190554,0.6461
-0.26825898340551135,0.5490999999999999
3.200828547708019,0.45030000000000003
6.669916078821563,0.37050000000000005
10.139003609935108,0.3026
13.608091141048638,0.24539999999999995
17.07717867216218,0.19999999999999996
20.546266203275724,0.16159999999999997
24.01535373438927,0.13470000000000004
27.4844412655028,0.1109
30.953528796616343,0.09009999999999996
34.42261632772989,0.07399999999999995
37.89170385884342,0.06030000000000002
41.360791389956965,0.0494
44.82987892107051,0.0403
48.29896645218404,0.03410000000000002
51.7680539832976,0.02749999999999997
55.23714151441113,0.02180000000000004
58.70622904552466,0.016900000000000026
62.17531657663822,0.01200000000000001
65.64440410775174,0.00880000000000003
69.11349163886527,0.006299999999999972
72.58257916997883,0.0042999999999999705
76.05166670109236,0.0029000000000000137
79.52075423220592,0.0017000000000000348
82.98984176331945,0.0008000000000000229
86.45892929443298,0.00009999999999998899
89.92801682554654,0
