theta,probability
-86.80387856110471,0.99999
-86.59005698261639,0.99999
-86.37623540412805,0.99999
-86.16241382563973,0.99999
-85.94859224715141,0.99999
-85.73477066866307,0.99999
-85.52094909017475,0.99999
-85.30712751168643,0.99999
-85.0933059331981,0.99998
-84.87948435470977,0.99998
-84.66566277622145,0.99998
-84.45184119773312,0.99998
-84.2380196192448,0.99998
-84.02419804075647,0.99997
-83.81037646226814,0.99997
-83.59655488377982,0.99997
-83.38273330529148,0.99997
-83.16891172680316,0.99997
-82.95509014831484,0.99997
-82.7412685698265,0.99995
-82.52744699133818,0.99995
-82.31362541284986,0.99994
-82.09980383436152,0.99994
-81.8859822558732,0.99993
-81.67216067738488,0.9999
-81.45833909889654,0.99988
-81.24451752040822,0.99987
-81.0306959419199,0.99986
-80.81687436343157,0.99985
-80.60305278494324,0.99982
-80.38923120645492,0.9998
-80.17540962796659,0.99977
-79.96158804947827,0.99976
-79.74776647098994,0.99975
-79.53394489250161,0.99974
-79.32012331401329,0.9997
-79.10630173552497,0.99968
-78.89248015703663,0.99963
-78.67865857854831,0.99961
-78.46483700005997,0.99961
-78.25101542157165,0.99957
-78.03719384308333,0.99954
-77.823372264595,0.9995
-77.60955068610667,0.99942
-77.39572910761835,0.9994
-77.18190752913002,0.99935
-76.9680859506417,0.99927
-76.75426437215337,0.99916
-76.54044279366504,0.9991
-76.32662121517671,0.99903
-76.1127996366884,0.99894
-75.89897805820006,0.99883
-75.68515647971174,0.99874
-75.47133490122341,0.99866
-75.25751332273508,0.99857
-75.04369174424676,0.99847
-74.82987016575844,0.99836
-74.6160485872701,0.99819
-74.40222700878178,0.9981
-74.18840543029346,0.9979
-73.97458385180512,0.99776
-73.7607622733168,0.99755
-73.54694069482848,0.99738
-73.33311911634014,0.99713
-73.11929753785182,0.99687
-72.9054759593635,0.9966
-72.69165438087516,0.99636
-72.47783280238684,0.99611
-72.26401122389852,0.9958
-72.05018964541019,0.99559
-71.83636806692186,0.99532
-71.62254648843354,0.99498
-71.4087249099452,0.99461
-71.19490333145689,0.99427
-70.98108175296855,0.99384
-70.76726017448023,0.99343
-70.5534385959919,0.99317
-70.33961701750358,0.99272
-70.12579543901525,0.99215
-69.91197386052693,0.99162
-69.69815228203859,0.99106
-69.48433070355027,0.99043
-69.27050912506195,0.98989
-69.05668754657361,0.98933
-68.84286596808529,0.98871
-68.62904438959696,0.98803
-68.41522281110863,0.98744
-68.20140123262031,0.9868
-67.98757965413198,0.98605
-67.77375807564366,0.98526
-67.55993649715533,0.98452
-67.346114918667,0.9837
-67.13229334017868,0.98285
-66.91847176169036,0.98199
-66.70465018320202,0.98091
-66.4908286047137,0.98003
-66.27700702622538,0.97915
-66.06318544773704,0.97815
-65.84936386924872,0.97726
-65.6355422907604,0.97615
-65.42172071227206,0.97508
-65.20789913378374,0.97382
-64.99407755529542,0.9728
-64.78025597680708,0.97139
-64.56643439831876,0.97011
-64.35261281983044,0.96882
-64.1387912413421,0.96718
-63.92496966285379,0.96561
-63.71114808436547,0.96402
-63.49732650587713,0.96248
-63.28350492738881,0.96111
-63.06968334890049,0.95949
-62.855861770412154,0.95787
-62.64204019192383,0.95646
-62.428218613435504,0.95472
-62.214397034947176,0.95303
-62.000575456458854,0.95119
-61.786753877970526,0.94922
-61.5729322994822,0.94739
-61.359110720993876,0.94525
-61.14528914250555,0.94323
-60.93146756401722,0.94098
-60.7176459855289,0.93925
-60.50382440704057,0.93715
-60.29000282855224,0.93507
-60.07618125006392,0.93305
-59.86235967157559,0.9309000000000001
-59.64853809308726,0.92846
-59.43471651459894,0.9259
-59.22089493611061,0.92354
-59.00707335762228,0.92106
-58.79325177913396,0.91894
-58.579430200645625,0.91644
-58.3656086221573,0.91367
-58.15178704366898,0.91096
-57.937965465180646,0.90833
-57.724143886692325,0.90551
-57.510322308204,0.90289
-57.29650072971567,0.90004
-57.082679151227346,0.8972
-56.86885757273902,0.89423
-56.65503599425069,0.89148
-56.44121441576237,0.88853
-56.22739283727404,0.886
-56.01357125878571,0.8831100000000001
-55.79974968029739,0.87997
-55.58592810180906,0.8767199999999999
-55.37210652332073,0.87363
-55.15828494483241,0.87034
-54.94446336634408,0.8673500000000001
-54.73064178785575,0.8643000000000001
-54.51682020936743,0.86126
-54.3029986308791,0.85785
-54.089177052390774,0.85454
-53.87535547390245,0.85098
-53.661533895414124,0.84751
-53.447712316925795,0.8442000000000001
-53.233890738437466,0.84078
-53.020069159949145,0.83751
-52.806247581460816,0.83384
-52.59242600297249,0.82992
-52.378604424484166,0.82625
-52.16478284599584,0.8224
-51.95096126750751,0.81875
-51.73713968901919,0.81447
-51.52331811053086,0.81069
-51.30949653204253,0.80684
-51.09567495355421,0.80279
-50.88185337506588,0.79862
-50.66803179657755,0.79445
-50.45421021808922,0.7902
-50.2403886396009,0.78627
-50.02656706111257,0.78197
-49.812745482624244,0.77795
-49.59892390413592,0.77397
-49.385102325647594,0.76978
-49.171280747159265,0.76566
-48.957459168670944,0.76151
-48.743637590182615,0.75716
-48.52981601169429,0.75319
-48.315994433205965,0.74936
-48.10217285471764,0.74483
-47.88835127622931,0.7409
-47.67452969774098,0.73639
-47.46070811925266,0.73214
-47.24688654076433,0.7279599999999999
-47.033064962276,0.72319
-46.81924338378768,0.71879
-46.60542180529935,0.71417
-46.39160022681102,0.70997
-46.1777786483227,0.7049799999999999
-45.96395706983437,0.70025
-45.75013549134604,0.69579
-45.53631391285772,0.69157
-45.32249233436939,0.6871700000000001
-45.108670755881064,0.68268
-44.894849177392736,0.67808
-44.681027598904414,0.67353
-44.467206020416086,0.6689
-44.25338444192776,0.6645300000000001
-44.039562863439436,0.6595
-43.82574128495111,0.6549499999999999
-43.61191970646278,0.65037
-43.39809812797446,0.64559
-43.18427654948613,0.6410899999999999
-42.9704549709978,0.63645
-42.75663339250948,0.63161
-42.54281181402115,0.62703
-42.32899023553282,0.62297
-42.11516865704449,0.61839
-41.90134707855617,0.61383
-41.68752550006784,0.60955
-41.473703921579514,0.60485
-41.25988234309119,0.60009
-41.04606076460286,0.5953999999999999
-40.832239186114535,0.59093
-40.61841760762621,0.58639
-40.404596029137885,0.5816399999999999
-40.190774450649556,0.57724
-39.976952872161235,0.57264
