theta,probability
-9.688660372914589,0.999998
-9.473300448310114,0.999997
-9.257940523705638,0.999994
-9.042580599101164,0.999986
-8.82722067449669,0.99997
-8.611860749892214,0.999946
-8.39650082528774,0.999899
-8.181140900683266,0.999832
-7.965780976078792,0.99974
-7.750421051474316,0.999601
-7.5350611268698415,0.999425
-7.3197012022653665,0.999185
-7.104341277660891,0.998848
-6.888981353056417,0.998444
-6.673621428451942,0.997879
-6.458261503847467,0.997229
-6.242901579242993,0.996367
-6.027541654638519,0.995225
-5.812181730034044,0.993882
-5.596821805429569,0.992272
-5.3814618808250945,0.990288
-5.166101956220619,0.987965
-4.950742031616144,0.985236
-4.73538210701167,0.982073
-4.520022182407195,0.97843
-4.30466225780272,0.974239
-4.089302333198246,0.969562
-3.8739424085937704,0.964539
-3.6585824839892953,0.958874
-3.443222559384821,0.952772
-3.227862634780346,0.945854
-3.012502710175872,0.938405
-2.797142785571397,0.930337
-2.5817828609669218,0.921756
-2.3664229363624476,0.912744
-2.1510630117579725,0.903191
-1.9357030871534986,0.893476
-1.7203431625490235,0.883039
-1.5049832379445485,0.872548
-1.2896233133400743,0.861289
-1.0742633887356001,0.849724
-0.8589034641311242,0.8377950000000001
-0.64354353952665,0.825624
-0.42818361492217577,0.813053
-0.21282369031769982,0.800089
0.0025362342867743526,0.785976
0.21789615889124853,0.772035
0.4332560834957245,0.758116
0.6486160081001986,0.744868
0.8639759327046728,0.731695
1.0793358573091487,0.718865
1.294695781913623,0.706107
1.510055706518097,0.6936899999999999
1.725415631122573,0.681543
1.9407755557270472,0.669621
2.1561354803315216,0.657895
2.3714954049359975,0.6466529999999999
2.5868553295404717,0.635498
2.802215254144946,0.6246860000000001
3.01757517874942,0.614133
3.232935103353896,0.603835
3.44829502795837,0.5936969999999999
3.6636549525628443,0.5836859999999999
3.8790148771673203,0.574139
4.094374801771794,0.564754
4.309734726376268,0.5552250000000001
4.525094650980744,0.546064
4.740454575585218,0.5370809999999999
4.9558145001896925,0.528385
5.1711744247941684,0.519941
5.386534349398643,0.5115080000000001
5.601894274003117,0.503425
5.817254198607591,0.49541199999999996
6.032614123212067,0.487583
6.247974047816541,0.47999899999999995
6.463333972421017,0.47259399999999996
6.678693897025491,0.465221
6.894053821629965,0.457959
7.10941374623444,0.450916
7.324773670838914,0.44418
7.540133595443388,0.437449
7.755493520047866,0.430828
7.97085344465234,0.42442199999999997
8.186213369256814,0.41805000000000003
8.401573293861288,0.41182700000000005
8.616933218465762,0.405844
8.832293143070236,0.399706
9.047653067674714,0.393737
9.263012992279188,0.388
9.478372916883663,0.38239500000000004
9.693732841488137,0.376742
9.909092766092611,0.37127
10.124452690697085,0.36593
10.339812615301563,0.360765
10.555172539906037,0.35551200000000005
10.770532464510511,0.35039200000000004
10.985892389114985,0.34542300000000004
11.20125231371946,0.340506
11.416612238323934,0.335707
11.631972162928408,0.3308
11.847332087532886,0.326126
12.06269201213736,0.32155
12.278051936741834,0.317036
12.493411861346308,0.31250900000000004
12.708771785950782,0.30804
12.924131710555256,0.30362599999999995
13.139491635159734,0.299424
13.354851559764208,0.295346
13.570211484368683,0.291334
13.785571408973157,0.287401
14.00093133357763,0.283382
14.216291258182105,0.279644
14.431651182786583,0.27583
14.647011107391057,0.27211799999999997
14.862371031995531,0.268458
15.077730956600005,0.264761
15.29309088120448,0.26108200000000004
15.508450805808954,0.25746899999999995
15.723810730413428,0.253969
15.939170655017906,0.25063199999999997
16.15453057962238,0.24731800000000004
16.369890504226856,0.244039
16.58525042883133,0.24069600000000002
16.800610353435804,0.23747200000000002
17.015970278040278,0.234356
17.231330202644756,0.23126999999999998
17.44669012724923,0.22823700000000002
17.662050051853704,0.22520399999999996
17.87740997645818,0.222167
18.092769901062653,0.21924500000000002
18.308129825667127,0.21635099999999996
18.5234897502716,0.21357700000000002
18.73884967487608,0.21087199999999995
18.954209599480553,0.20811500000000005
19.169569524085027,0.20525099999999996
19.3849294486895,0.202581
19.600289373293975,0.19985399999999998
19.81564929789845,0.19723999999999997
20.031009222502927,0.194701
20.2463691471074,0.192083
20.461729071711876,0.18964999999999999
20.67708899631635,0.18721600000000005
20.892448920920824,0.184728
21.107808845525298,0.18229300000000004
21.323168770129772,0.18001
21.53852869473425,0.17768099999999998
21.753888619338724,0.17534899999999998
21.9692485439432,0.17308100000000004
22.184608468547673,0.17079999999999995
22.399968393152147,0.16858300000000004
22.615328317756624,0.166323
22.830688242361095,0.16412099999999996
23.046048166965573,0.161949
23.261408091570043,0.15988899999999995
23.47676801617452,0.15781699999999999
23.692127940779,0.15574299999999996
23.90748786538347,0.15373199999999998
24.122847789987947,0.15165700000000004
24.338207714592418,0.14974500000000002
24.553567639196896,0.14771900000000004
24.768927563801366,0.14585599999999999
24.984287488405844,0.14394099999999999
25.19964741301032,0.14206799999999997
25.415007337614792,0.14019899999999996
25.63036726221927,0.13841899999999996
25.84572718682374,0.13659699999999997
26.06108711142822,0.13487300000000002
26.276447036032696,0.13309899999999997
26.491806960637167,0.13138700000000003
26.707166885241644,0.12968000000000002
26.922526809846115,0.12802100000000005
27.137886734450593,0.12635600000000002
27.353246659055063,0.12482000000000004
27.56860658365954,0.12318300000000004
27.78396650826402,0.12157399999999996
27.99932643286849,0.12002999999999997
28.214686357472967,0.11855199999999999
28.430046282077438,0.11702999999999997
28.645406206681916,0.11560199999999998
28.860766131286386,0.11414899999999994
29.076126055890864,0.11270500000000006
29.29148598049534,0.11136299999999999
29.506845905099812,0.10990200000000006
29.72220582970429,0.108537
29.93756575430876,0.10710600000000003
30.15292567891324,0.10571399999999997
30.368285603517716,0.104325
30.583645528122187,0.102931
30.799005452726664,0.10158699999999998
31.014365377331135,0.10029600000000005
31.229725301935613,0.09899599999999997
31.445085226540083,0.09772499999999995
31.66044515114456,0.09646999999999994
31.87580507574904,0.095302
32.091165000353506,0.09412200000000004
32.306524924957984,0.09293099999999999
32.521884849562454,0.09177000000000002
32.73724477416693,0.09067199999999997
32.9526046987714,0.08953500000000003
33.16796462337588,0.08843400000000001
33.38332454798036,0.08730300000000002
33.59868447258483,0.08616599999999996
33.814044397189306,0.08508400000000005
34.02940432179378,0.08397100000000002
34.244764246398255,0.08293700000000004
34.46012417100273,0.081905
34.6754840956072,0.08085299999999995
34.89084402021168,0.07981499999999997
35.10620394481615,0.07872999999999997
35.32156386942063,0.07769099999999995
35.5369237940251,0.07670999999999994
35.75228371862958,0.075708
35.967643643234055,0.07476499999999997
36.183003567838526,0.07377900000000004
36.398363492443,0.07287100000000002
36.613723417047474,0.07198499999999997
36.82908334165195,0.07101199999999996
37.04444326625642,0.07012399999999996
37.2598031908609,0.06925700000000001
37.47516311546538,0.06837599999999999
37.69052304006985,0.06747000000000003
37.905882964674326,0.06666300000000003
38.1212428892788,0.06579599999999997
38.336602813883275,0.06490200000000002
38.55196273848775,0.06406900000000004
38.76732266309222,0.06324099999999999
38.9826825876967,0.06242700000000001
39.19804251230117,0.061575000000000046
39.41340243690565,0.06080600000000003
39.62876236151012,0.06001100000000004
39.8441222861146,0.05926399999999998
40.059482210719075,0.058553999999999995
40.274842135323546,0.057783999999999947
40.49020205992802,0.05707799999999996
40.705561984532494,0.05632000000000004
40.92092190913697,0.05561700000000003
41.13628183374144,0.054916999999999994
41.35164175834592,0.054201000000000055
41.5670016829504,0.05354000000000003
41.78236160755487,0.052817
41.997721532159346,0.052118
42.21308145676382,0.051397000000000026
42.428441381368295,0.05071099999999995
42.643801305972765,0.04998800000000003
42.85916123057724,0.049304000000000014
43.07452115518172,0.048660999999999954
43.28988107978619,0.048018000000000005
43.50524100439067,0.04739099999999996
